county_name;numb_of_citizens;urbanization_rate
powiat_lowicki;  79340;0,3660
powiat_koscianski;  79263;0,4655
powiat_chelmski;  79088;0,0623
powiat_nowodworski_mazowieckie;  79024;0,5046
powiat_sandomierski;  78858;0,3584
powiat_bytowski;  78834;0,3570
powiat_przeworski;  78735;0,2673
powiat_brodnicki;  78630;0,4341
powiat_szczecinecki;  78430;0,6340
powiat_krotoszynski;  77764;0,6018
powiat_rybnicki;  77703;0,3763
powiat_wielunski;  77238;0,3073
powiat_opoczynski;  77203;0,3406
powiat_policki;  77201;0,5910
powiat_wrzesinski;  77073;0,5231
Siedlce;  77020;1,0000
powiat_lubliniecki;  76837;0,3730
powiat_skarzyski;  76384;0,7222
powiat_olawski;  76329;0,6359
powiat_zyrardowski;  76164;0,6374
powiat_gostynski;  76093;0,4200
Konin;  75342;1,0000
powiat_zielonogorski;  75314;0,3928
powiat_strzelecki;  75277;0,4519
powiat_nowotomyski;  74901;0,4835
Piotrkow_Trybunalski;  74694;1,0000
Myslowice;  74592;1,0000
powiat_przemyski;  74360;0,0000
powiat_wyszkowski;  73994;0,3765
powiat_ropczycko_sedziszowski;  73956;0,3117
powiat_mlawski;  73700;0,4028
powiat_ostrowski_mazowieckie;  73562;0,3229
powiat_staszowski;  72797;0,3465
powiat_buski;  72779;0,2296
powiat_swidnicki_lubelskie;  72495;0,5518
powiat_koscierski;  71771;0,3335
powiat_jarocinski;  71738;0,3966
powiat_myszkowski;  71670;0,5565
powiat_gorzowski;  71234;0,3785
powiat_lodzki_wschodni;  70796;0,3654
powiat_zninski;  70528;0,4374
powiat_szczycienski;  70466;0,4107
powiat_wagrowiecki;  69960;0,4700
powiat_zlotowski;  69834;0,4986
powiat_lezajski;  69663;0,2975
Suwalki;  69626;1,0000
powiat_sokolski;  68664;0,4174
powiat_tatrzanski;  67905;0,4246
Siemianowice_Slaskie;  67905;1,0000
powiat_zdunskowolski;  67248;0,6814
powiat_mysliborski;  67016;0,5910
powiat_nizanski;  66911;0,3558
powiat_wegrowski;  66825;0,2782
powiat_lipnowski;  66575;0,3121
powiat_zabkowicki;  66527;0,4506
powiat_kluczborski;  66446;0,5105
powiat_leborski;  66177;0,5957
powiat_koszalinski;  66071;0,2180
powiat_dzialdowski;  66011;0,4468
powiat_brzozowski;  65990;0,1190
powiat_hrubieszowski;  65195;0,2686
powiat_oleski;  65101;0,3678
powiat_krasnostawski;  64921;0,2736
Zamosc;  64648;1,0000
powiat_jeleniogorski;  64395;0,4807
powiat_krapkowicki;  64373;0,5510
Leszno;  64159;1,0000
powiat_malborski;  64011;0,6749
powiat_ketrzynski;  63969;0,5717
Chelm;  63734;1,0000
powiat_pleszewski;  63212;0,2892
powiat_polkowicki;  63081;0,5961
Lomza;  62802;1,0000
powiat_kolbuszowski;  62472;0,1491
Przemysl;  62154;1,0000
Zory;  62013;1,0000
powiat_strzyzowski;  61781;0,1401
powiat_gryficki;  61160;0,5080
powiat_sremski;  61106;0,5745
powiat_kozienicki;  61045;0,3024
powiat_opolski_lubelskie;  60586;0,3005
powiat_rawicki;  60356;0,4860
powiat_radzynski;  59986;0,2640
powiat_obornicki;  59626;0,5166
powiat_slupecki;  59617;0,2865
powiat_dabrowski;  59342;0,1925
powiat_bierunsko_ledzinski;  59154;0,7821
powiat_augustowski;  58905;0,5556
