pcontact,abcd_const_I_30,abcd_const_I_50,abcd_const_I_70,abcd_const_S_70,abcd_const_D_70,abcd_const_R_70,abcd_var_I_30,abcd_var_I_50,abcd_var_I_70,abcd_var_S_70,abcd_var_D_70,abcd_var_R_70,ws_const_I_30,ws_const_I_50,ws_const_I_70,ws_const_S_70,ws_const_D_70,ws_const_R_70,ws_var_I_30,ws_var_I_50,ws_var_I_70,ws_var_S_70,ws_var_D_70,ws_var_R_70
0.1,3,5.74578373015873,9.19047619047619,370.68948412698415,0.1111111111111111,182.56522817460316,3.400545634920635,6.547371031746032,12.690228174603174,434.8469742063492,0.25967261904761907,189.2609126984127,3.400545634920635,4.919642857142857,6.666666666666667,389.67857142857144,0.08630952380952381,170.15873015873015,3.673611111111111,10.858878968253968,16.769593253968253,768.4603174603175,0.3568948412698413,354.3013392857143
0.105,4.630952380952381,12.999007936507937,23.295386904761905,772.2450396825396,0.4087301587301587,320.0096726190476,5.919642857142857,16.884920634920636,32.88492063492063,985.3866567460317,0.13392857142857142,458.078373015873,6.329117063492063,13.043650793650794,42.34102182539682,1278.0595238095239,0.12276785714285714,419.63492063492066,4.857142857142857,8.83110119047619,24.095238095238095,795.1386408730159,0.13392857142857142,306.04340277777777
0.11,6.133928571428571,13.787450396825397,18.799355158730158,804.1644345238095,0.24578373015873015,329.0910218253968,5.791418650793651,17.53968253968254,39.75297619047619,1246.5386904761904,0.20535714285714285,510.25,4.630952380952381,12.586309523809524,31.234126984126984,954.2914186507936,0.14459325396825398,380.51959325396825,6.0476190476190474,16.640625,26.77777777777778,991.9910714285714,0.21825396825396826,389.37872023809524
0.115,10.919642857142858,44.50694444444444,104.67237103174604,3483.6974206349205,0.22395833333333334,1179.419642857143,7.91046626984127,34.6656746031746,80.94345238095238,2744.281746031746,0.2371031746031746,854.0545634920635,7.173611111111111,23.396825396825395,69.79737103174604,2382.8787202380954,0.25396825396825395,764.8390376984127,7.7259424603174605,49.70610119047619,99.65252976190476,3368.25,0.5942460317460317,1151.2735615079366
0.12,10.62673611111111,21.72792658730159,82.91170634920636,2383.9196428571427,0.5691964285714286,654.2539682539683,15.488095238095237,43.80555555555556,155.39657738095238,4736.268849206349,0.2926587301587302,1285.0436507936508,9.53968253968254,55.583333333333336,187.88467261904762,5131.571428571428,0.49206349206349204,1469.7616567460318,13.633928571428571,67.67361111111111,165.42757936507937,5697.773809523809,0.33903769841269843,1708.263640873016
0.125,11.487847222222221,48.31349206349206,249.83234126984127,6747.742063492064,0.4126984126984127,1534.8668154761904,10.53546626984127,71.9203869047619,363.83705357142856,9964.852926587302,0.35615079365079366,2399.0625,13.202380952380953,100.50570436507937,455.31125992063494,11524.567460317461,0.5625,2965.9831349206347,12.18030753968254,53.82713293650794,389.7738095238095,10368.735863095239,0.4025297619047619,2097.4603174603176
0.13,19.09499007936508,99.79935515873017,558.313244047619,15019.15054563492,0.22991071428571427,3453.517609126984,19.157738095238095,160.64657738095238,1014.9672619047619,23430.513640873014,0.5017361111111112,4475.237103174603,14.694444444444445,111.01190476190476,671.0753968253969,17876.821428571428,0.7609126984126984,3838.3072916666665,12.396825396825397,81.14260912698413,475.78472222222223,11894.662450396825,0.5396825396825397,2494.4937996031745
0.135,15.418402777777779,182.81646825396825,1115.6366567460318,27428.714285714286,0.4722222222222222,5019.428323412699,22.28174603174603,235.60689484126985,1283.7738095238096,30821.973958333332,0.6626984126984127,6265.618799603175,24.761904761904763,271.92832341269843,1779.4037698412699,43952.80059523809,1.0354662698412698,8481.126736111111,21.156498015873016,225.6418650793651,1780.4434523809523,37771.908482142855,0.8958333333333334,6658.591021825397
0.14,17.456349206349206,128.9779265873016,1027.2291666666667,25623.9751984127,0.890625,4277.141865079365,31.53075396825397,373.4342757936508,2310.2199900793653,57768.9779265873,1.1822916666666667,10233.138640873016,18.00768849206349,224.4593253968254,1790.157738095238,40958.281746031746,0.6944444444444444,6582.307291666667,29.039434523809526,344.108878968254,2273.7755456349205,55690.77752976191,0.7100694444444444,10397.181547619048
0.145,39.11011904761905,552.6922123015873,5231.919642857143,120542.72594246031,1.138640873015873,17792.884920634922,33.742063492063494,503.53968253968253,5189.718005952381,119086.49206349206,1.8799603174603174,16119.108878968254,30.9640376984127,302.97594246031747,3329.2609126984125,71667.2398313492,1.4246031746031746,10689.04365079365,48.176339285714285,790.374751984127,6812.292658730159,156350.80927579364,2.005704365079365,24115.713293650795
0.15,48.057291666666664,651.1904761904761,9221.952380952382,181298.015625,1.7291666666666667,22509.815228174604,79.78348214285714,911.9501488095239,10927.15873015873,236126.88789682538,2.3390376984126986,30324.943452380954,44.6656746031746,799.4699900793651,10446.25,225543.20808531746,3.3628472222222223,28128.03869047619,51.745039682539684,744.9481646825396,7709.443452380952,173664.93625992062,1.507688492063492,23287.598958333332
0.155,46.63492063492063,840.6267361111111,12780.257688492064,262880.5672123016,2.882688492063492,29234.672371031746,52.567460317460316,932.6309523809524,18511.554563492064,360803.56324404763,4.658482142857143,38892.80853174603,41.6468253968254,719.6366567460317,13202.840277777777,259667.76884920636,2.7371031746031744,27165.057291666668,88.5079365079365,1277.2874503968253,20545.291418650795,427419.65848214284,5.773561507936508,47005.48809523809
0.16,56.317460317460316,1335.142857142857,24203.234126984127,474890.2537202381,4.761904761904762,47407.11111111111,60.73189484126984,1835.783482142857,40334.05530753968,762129.6031746032,7.569196428571429,70323.93030753969,54.070436507936506,1151.9325396825398,23306.070436507936,459815.6505456349,3.808531746031746,44225.4751984127,62.82142857142857,1532.765625,37172.70610119047,688345.2775297619,4.666666666666667,63314.68948412698
0.165,86.38095238095238,2310.7579365079364,64005.6029265873,1197804.3707837302,5.896577380952381,94220.55927579365,86.22123015873017,2184.3449900793653,50955.10218253968,942043.5942460317,6.554563492063492,83300.22594246031,100.72594246031746,3070.1418650793653,69605.61507936507,1280315.3251488095,5.3561507936507935,113027.77356150794,80.7688492063492,2357.8211805555557,59813.68030753968,1130242.857142857,7.190476190476191,92696.06349206349
0.17,82.96999007936508,2882.776785714286,90901.32936507936,1650112.1783234128,7.967261904761905,123950.98412698413,126.13467261904762,4131.001736111111,140712.59300595237,2569647.435515873,12.237103174603174,183552.7142857143,72.87301587301587,2913.801339285714,105881.86284722222,1896509.5386904762,8.492063492063492,131454.94618055556,157.42633928571428,5163.650793650793,163238.2021329365,2931546.001736111,16.011656746031747,219758.39682539683
0.175,107.71800595238095,3825.670386904762,179505.2537202381,3131019.525545635,10.497767857142858,198167.92237103175,110.50694444444444,4822.476190476191,205298.93824404763,3568063.078373016,17.73784722222222,230716.05927579364,135.7437996031746,4810.2182539682535,209171.27157738095,3750476.221974206,15.395833333333334,236305.44345238095,258.8482142857143,9896.852926587302,404424.7061011905,6970466.426339285,24.454117063492063,465880.69444444444
0.18,116.52281746031746,7756.2557043650795,394963.71329365077,6830308.567460317,18.808531746031747,377618.6626984127,201.60094246031747,11230.390625,565677.8588789683,9393120.670386905,24.063244047619047,560227.4672619047,139.93030753968253,5696.031498015873,261286.46800595237,4458721.975198412,19.287450396825395,257254.2497519841,181.124751984127,9061.795386904761,505157.23412698414,8268032.625992063,27.737103174603174,450071.5307539682
0.185,215.1418650793651,11631.134672619048,706026.2160218254,11541831.583333334,34.29340277777778,593430.769593254,182.07713293650792,14113.108878968254,910999.0572916666,14604310.154761905,38.795386904761905,743395.6031746032,287.8687996031746,15382.479910714286,1027119.943452381,16414360.301587302,34.79265873015873,847169.9680059524,164.10218253968253,11772.554563492064,755040.7619047619,12137857.251736112,40.567460317460316,609503.1656746032
0.19,177.00694444444446,11557.816468253968,977692.5674603175,15551014.497767856,31.638640873015873,683082.9600694445,443.0753968253968,29057.51984126984,2048553.2378472222,30738256.56324405,81.23710317460318,1601466.4831349207,208.06349206349208,13633.35615079365,1024422.1111111111,16154600.535714285,48.9593253968254,759783.943452381,313.7715773809524,20308.216021825396,1577536.6743551588,24158528.095238097,64.41269841269842,1133091.033482143
0.195,236.44816468253967,23366.81646825397,2442357.095238095,36622669.499751985,54.33705357142857,1539550.7896825396,416.42832341269843,50986.11681547619,4446434.554563492,63958699.40451389,161.56324404761904,3142603.6584821427,218.749751984127,24894.68253968254,2349359.308531746,35764756.918402776,81.25570436507937,1532115.3878968253,783.7636408730159,67303.59895833333,5592136.208085317,80162606.18625993,185.8640873015873,4138115.303323413
0.2,268.1049107142857,27248.027777777777,3399535.3410218256,50214003.48387897,87.0890376984127,1929770.3132440476,594.3509424603175,60843.805555555555,6666114.729166667,94130318.22792658,172.47619047619048,4421519.380952381,309.01959325396825,37531.48809523809,4382226.027777778,64535423.634920634,115.58705357142857,2565763.0811011903,495.9117063492063,66212.29265873016,6755731.038690476,95168213.13392857,190.70808531746033,4452908.316468254
