suspectible,exposed,infected,carrier,dead,recovered
3999920,30,20,30,0,0
3999898,48,22,32,0,0
3999877,64,23,36,0,0
3999856,79,27,38,0,0
3999827,88,37,47,0,1
3999780,122,44,49,0,5
3999727,157,50,61,0,5
3999660,202,59,68,0,11
3999573,249,78,84,0,16
3999485,298,92,104,0,21
3999366,364,112,128,0,30
3999205,470,138,153,0,34
3999027,560,190,181,0,42
3998893,609,224,222,1,51
3998726,670,272,261,1,70
3998554,716,320,316,1,93
3998370,750,378,382,1,119
3998147,845,437,420,1,150
3997968,866,488,485,1,192
3997799,875,543,546,1,236
3997666,849,610,591,1,283
3997510,811,693,649,1,336
3997351,799,747,683,4,416
3997177,813,803,698,4,505
3996993,837,831,744,4,591
3996831,816,878,766,4,705
3996669,792,932,782,4,821
3996525,770,970,795,5,935
3996399,709,1001,821,6,1064
3996268,674,1036,834,8,1180
3996135,683,1047,830,8,1297
3995980,684,1067,813,12,1444
3995839,686,1079,797,13,1586
3995680,689,1087,786,14,1744
3995548,694,1088,762,16,1892
3995420,670,1081,743,17,2069
3995289,657,1080,725,20,2229
3995160,650,1066,739,24,2361
3995025,662,1058,700,24,2531
3994896,662,1050,695,24,2673
3994782,630,1033,693,25,2837
3994650,630,1023,690,26,2981
3994526,621,1012,695,27,3119
3994361,660,1007,693,29,3250
3994217,670,1001,699,31,3382
3994092,643,1007,695,32,3531
3993969,635,1011,682,32,3671
3993863,613,998,674,32,3820
3993724,614,1012,672,33,3945
3993603,611,986,674,34,4092
3993459,629,981,679,35,4217
3993336,620,957,677,35,4375
3993215,613,940,674,38,4520
3993109,585,934,680,38,4654
3992962,604,931,682,39,4782
3992854,572,931,692,39,4912
3992716,602,913,695,39,5035
3992585,601,906,713,40,5155
3992452,619,895,709,41,5284
3992291,662,896,688,41,5422
3992152,673,897,688,42,5548
3992008,689,892,683,43,5685
3991888,652,883,683,45,5849
3991744,656,893,664,45,5998
3991603,649,900,670,45,6133
3991473,651,906,663,48,6259
3991338,661,916,664,49,6372
3991201,653,938,658,50,6500
3991079,655,950,651,53,6612
3990942,669,950,640,55,6744
3990789,683,955,640,55,6878
3990648,678,972,647,55,7000
3990513,674,970,678,56,7109
3990366,684,972,681,58,7239
3990202,692,966,695,59,7386
3990055,692,981,708,59,7505
3989896,709,989,715,61,7630
3989755,700,991,727,63,7764
3989585,733,993,733,64,7892
3989443,734,1003,727,65,8028
3989289,741,997,732,68,8173
3989144,730,1005,753,70,8298
3988995,727,990,759,70,8459
3988839,744,994,754,70,8599
3988693,747,1009,737,72,8742
3988557,734,1000,735,72,8902
3988430,712,985,741,73,9059
3988269,718,1005,755,74,9179
3988123,741,999,740,75,9322
3987954,752,1013,749,76,9456
3987797,757,1006,762,77,9601
3987627,781,1015,749,77,9751
3987456,789,1018,764,79,9894
3987290,785,1020,791,79,10035
3987099,805,1034,810,81,10171
3986937,807,1047,795,83,10331
3986776,827,1060,768,84,10485
3986594,847,1080,759,87,10633
3986438,848,1092,768,87,10767
3986276,821,1100,789,87,10927
