suspectible,exposed,infected,carrier,dead,recovered,new_inf
3719869,6729,7842,5872,418,59270,663
3718352,6832,8028,6034,424,60330,705
3716819,6969,8241,6143,433,61395,730
3715231,7112,8453,6328,444,62432,725
3713530,7302,8702,6540,449,63477,767
3711834,7499,8870,6688,458,64651,739
3710139,7696,9031,6828,471,65835,749
3708393,7732,9313,7071,477,67014,881
3706449,8087,9554,7241,489,68180,793
3704595,8273,9825,7447,495,69365,837
3702682,8384,10044,7697,503,70690,864
3700730,8627,10244,7854,511,72034,832
3698671,8907,10454,8036,518,73414,896
3696529,9239,10682,8302,528,74720,860
3694369,9526,10993,8509,536,76067,981
3692983,8929,11270,8779,547,77492,988
3691569,8342,11561,8950,561,79017,1007
3690129,7961,11687,9074,574,80575,895
3688539,7781,11782,9124,589,82185,883
3686998,7638,11905,9049,598,83812,881
3685486,7517,11920,9027,609,85441,817
3683905,7460,11896,8953,622,87164,801
3682405,7378,11872,8933,641,88771,784
3680880,7309,11815,8812,650,90534,785
3679402,7230,11782,8661,661,92264,798
3678014,7127,11691,8514,675,93979,780
3676592,6973,11616,8408,690,95721,790
3675199,6845,11494,8261,706,97495,773
3673766,6813,11400,8076,718,99227,778
3672480,6711,11328,7946,732,100803,718
3671203,6561,11218,7833,747,102438,734
3670020,6326,11091,7684,764,104115,732
3668794,6185,10997,7515,774,105735,701
3667590,5982,10913,7426,782,107307,729
3666420,5879,10715,7300,793,108893,640
3665236,5783,10547,7222,805,110407,641
3664064,5742,10378,7030,818,111968,605
3662994,5611,10192,6885,829,113489,619
3661895,5545,10059,6698,840,114963,626
3660812,5419,9912,6617,850,116390,597
3659753,5352,9755,6462,868,117810,570
3658758,5181,9580,6393,881,119207,577
3657733,5089,9356,6319,893,120610,542
3656693,5052,9243,6171,906,121935,568
3655699,5031,9037,6014,920,123299,527
3654193,5466,8875,5898,927,124641,537
3652743,5773,8740,5867,941,125936,567
3651256,6168,8666,5787,954,127169,561
3649877,6318,8597,5833,963,128412,597
3648394,6530,8610,5862,968,129636,675
3646998,6614,8661,5942,972,130813,677
3645595,6647,8718,6074,982,131984,683
3644203,6633,8826,6134,995,133209,741
3642723,6732,8917,6222,1011,134395,701
3641270,6791,9007,6335,1018,135579,721
3639768,6897,9103,6467,1024,136741,703
3638219,6993,9238,6565,1035,137950,729
3636643,7056,9349,6724,1047,139181,763
3634983,7273,9447,6827,1055,140415,741
3633287,7447,9599,6983,1063,141621,763
3631614,7565,9746,7081,1072,142922,799
3629971,7667,9889,7226,1075,144172,785
3628263,7795,10058,7271,1088,145525,833
3626598,7828,10229,7399,1094,146852,847
3624774,7966,10436,7574,1105,148145,869
3622949,8160,10612,7683,1111,149485,810
3621097,8295,10783,7824,1123,150878,863
3619272,8400,10923,7992,1136,152277,864
3617421,8522,11065,8081,1149,153762,900
3615533,8638,11250,8256,1159,155164,874
3613567,8763,11389,8447,1166,156668,900
3611603,8875,11555,8548,1179,158240,946
3609546,9161,11611,8623,1192,159867,898
3607522,9244,11814,8756,1203,161461,954
3605526,9308,12037,8879,1215,163035,1007
3603948,8874,12280,9040,1222,164636,1020
3602398,8436,12395,9216,1239,166316,946
3600745,8246,12533,9178,1251,168047,941
3599162,8037,12601,9216,1267,169717,912
3597554,7817,12666,9303,1279,171381,929
3595854,7885,12646,9311,1287,173017,854
3594152,7834,12662,9285,1297,174770,860
3592511,7828,12558,9239,1307,176557,798
3590867,7848,12493,9203,1323,178266,834
3589280,7775,12426,9094,1336,180089,839
3587685,7697,12449,8943,1350,181876,878
3586125,7628,12379,8815,1362,183691,835
3584528,7555,12318,8784,1375,185440,849
3583054,7447,12228,8686,1387,187198,810
3581541,7386,12075,8532,1398,189068,779
3580063,7246,12108,8399,1410,190774,863
3578613,7189,11986,8296,1423,192493,758
3577258,7050,11795,8217,1432,194248,735
3575913,6903,11602,8137,1443,196002,733
3574575,6724,11496,8055,1452,197698,752
3573214,6585,11396,7980,1459,199366,763
3571930,6470,11320,7853,1469,200958,728
3570671,6341,11158,7755,1481,202594,707
3569409,6246,11114,7626,1498,204107,710
3568105,6222,11009,7470,1508,205686,677
3566892,6094,10827,7394,1526,207267,668
3565640,6062,10700,7245,1536,208817,671
3564383,6077,10512,7125,1543,210360,641
3563230,5953,10395,7039,1553,211830,648
3562055,5912,10191,6892,1562,213388,593
3560510,6213,10009,6761,1575,214932,654
3559033,6411,9844,6698,1586,216428,633
3557519,6642,9729,6606,1595,217909,665
3556148,6676,9650,6668,1617,219241,635
3554722,6696,9617,6690,1626,220649,748
3553298,6669,9574,6761,1640,222058,705
3551941,6600,9606,6815,1653,223385,734
3550504,6680,9623,6802,1661,224730,700
3548998,6747,9653,6873,1673,226056,709
3547558,6798,9642,6916,1686,227400,675
3546042,6927,9644,6950,1699,228738,692
3544581,6932,9678,6984,1704,230121,731
3543177,6853,9756,7055,1718,231441,766
3541685,6869,9834,7110,1728,232774,751
3540173,6948,9830,7208,1737,234104,692
3538633,7065,9827,7229,1744,235502,702
3537136,7078,9902,7272,1753,236859,751
3535590,7155,9942,7270,1764,238279,744
3534032,7219,10044,7306,1778,239621,771
3532477,7250,10116,7294,1785,241078,808
3530954,7303,10127,7327,1796,242493,750
3529393,7331,10160,7356,1803,243957,754
3527823,7326,10304,7442,1806,245299,795
3526180,7415,10469,7462,1814,246660,833
3524561,7507,10463,7583,1826,248060,741
3522960,7461,10591,7670,1836,249482,814
3521361,7506,10659,7701,1845,250928,787
3519721,7593,10704,7732,1856,252394,774
3518115,7648,10741,7793,1862,253841,773
