suspectible,exposed,infected,carrier,dead,recovered,new_inf
3727203,7394,8337,6350,372,50344,744
3725474,7640,8603,6539,375,51369,757
3723635,7914,8845,6771,381,52454,801
3721812,8140,9111,6968,393,53576,809
3719930,8266,9368,7207,408,54821,857
3718006,8529,9637,7387,412,56029,835
3716014,8743,9972,7575,417,57279,907
3713998,8919,10257,7854,424,58548,925
3711988,9104,10542,8057,433,59876,929
3709957,9279,10829,8262,443,61230,958
3707820,9468,11112,8538,451,62611,964
3705646,9649,11424,8783,464,64034,1015
3703339,9989,11701,8943,477,65551,1019
3701051,10128,12058,9235,485,67043,1065
3699721,9283,12378,9515,493,68610,1091
3698192,8755,12663,9703,510,70177,1054
3696633,8298,12897,9806,521,71845,1036
3695043,8000,13028,9814,532,73583,963
3693536,7693,13145,9774,541,75311,941
3691997,7562,13124,9642,551,77124,844
3690472,7407,13129,9563,564,78865,845
3688940,7371,13037,9346,581,80725,807
3687540,7210,12892,9202,600,82556,771
3686136,7071,12823,8979,608,84383,811
3684720,6919,12660,8850,625,86226,790
3683324,6784,12501,8684,640,88067,779
3681949,6725,12291,8504,653,89878,735
3680633,6599,12073,8305,670,91720,719
3679320,6500,11854,8073,686,93567,715
3678072,6373,11559,7917,697,95382,637
3676859,6252,11355,7754,712,97068,685
3675666,6086,11156,7629,724,98739,714
3674477,5967,10966,7471,732,100387,665
3673320,5864,10712,7321,746,102037,616
3672220,5706,10495,7177,756,103646,634
3671107,5595,10353,6996,766,105183,650
3670017,5511,10178,6813,773,106708,612
3668985,5317,10000,6677,788,108233,629
3667908,5225,9820,6496,794,109757,640
3666878,5135,9615,6364,808,111200,598
3665920,5022,9442,6217,817,112582,539
3665011,4873,9253,6095,825,113943,530
3664103,4726,9060,5963,839,115309,537
3663211,4596,8881,5863,855,116594,527
3661723,5088,8709,5774,868,117838,489
3660297,5530,8526,5636,874,119137,504
3658826,5953,8388,5555,889,120389,536
3657453,6172,8302,5554,896,121623,579
3656024,6438,8256,5554,904,122824,580
3654608,6579,8253,5602,914,124044,648
3653218,6631,8285,5751,921,125194,652
3651778,6628,8385,5886,932,126391,730
3650406,6650,8412,6011,944,127577,656
3648937,6693,8496,6218,955,128701,703
3647357,6896,8613,6301,958,129875,701
3645778,7080,8765,6453,966,130958,715
3644131,7321,8925,6616,972,132035,702
3642518,7507,9101,6688,979,133207,757
3640883,7594,9234,6881,993,134415,763
3639209,7700,9394,7017,1000,135680,789
3637568,7722,9621,7182,1009,136898,849
3635820,7873,9811,7267,1023,138206,803
3634137,7921,10021,7438,1036,139447,837
3632379,8019,10224,7557,1044,140777,856
3630468,8268,10438,7642,1052,142132,854
3628727,8362,10520,7807,1066,143518,802
3626890,8477,10758,7939,1078,144858,888
3625094,8533,10929,8041,1085,146318,885
3623209,8707,11085,8180,1090,147729,851
3621212,8910,11253,8281,1103,149241,878
3619273,9006,11473,8437,1119,150692,940
3617234,9159,11722,8501,1129,152255,1012
3615317,9181,11916,8676,1144,153766,949
3613301,9298,12118,8804,1153,155326,948
3612057,8606,12287,9000,1170,156880,965
3610793,7919,12467,9092,1185,158544,963
3609469,7382,12612,9159,1194,160184,950
3608123,7055,12543,9189,1206,161884,821
3606812,6804,12481,9061,1218,163624,825
3605566,6583,12320,8886,1231,165414,737
3604254,6495,12159,8705,1244,167143,717
3603045,6305,12095,8450,1264,168841,776
3601890,6121,11885,8255,1277,170572,670
3600769,5944,11646,7975,1290,172376,669
3599694,5672,11506,7709,1296,174123,704
3598615,5564,11237,7437,1304,175843,627
3597630,5367,10930,7280,1317,177476,598
3596611,5204,10710,7050,1326,179099,593
3595661,5019,10447,6843,1339,180691,566
3594658,4950,10155,6640,1347,182250,545
3593743,4832,9886,6403,1359,183777,555
3592862,4664,9622,6197,1380,185275,557
3591954,4497,9449,6070,1389,186641,550
3591139,4367,9148,5877,1397,188072,483
3590361,4249,8877,5693,1413,189407,460
3589594,4084,8618,5525,1423,190756,474
3588868,3894,8425,5365,1432,192016,462
3588128,3774,8157,5191,1443,193307,423
3587381,3695,7916,5039,1455,194514,431
3586676,3596,7673,4941,1467,195647,396
3586066,3437,7436,4785,1478,196798,401
3585392,3414,7114,4604,1483,197993,354
3584745,3343,6892,4419,1493,199108,368
3584193,3177,6615,4308,1511,200196,364
3583190,3492,6415,4199,1518,201186,359
3582196,3760,6277,4079,1525,202163,384
3581272,3916,6181,4001,1529,203101,396
3580445,4012,6036,3920,1533,204054,375
3579528,4086,5938,3957,1540,204951,405
3578665,4118,5863,3973,1546,205835,409
3577779,4165,5877,3967,1553,206659,460
3576914,4164,5869,4056,1560,207437,432
3575998,4222,5845,4147,1568,208220,415
3575083,4210,5904,4225,1575,209003,478
3574143,4251,5937,4262,1577,209830,444
3573192,4307,5992,4273,1587,210649,486
3572241,4375,6055,4267,1590,211472,467
3571316,4418,6089,4264,1600,212313,451
3570364,4442,6153,4309,1607,213125,479
3569504,4359,6227,4327,1615,213968,509
3568511,4421,6229,4401,1622,214816,463
3567520,4514,6258,4396,1628,215684,481
3566566,4522,6342,4449,1632,216489,488
3565575,4570,6379,4478,1635,217363,483
3564570,4658,6431,4461,1641,218239,495
3563559,4715,6485,4495,1649,219097,485
3562557,4691,6545,4566,1657,219984,516
3561530,4765,6602,4605,1663,220835,498
3560586,4687,6706,4669,1667,221685,527
3559572,4668,6789,4732,1673,222566,531
3558597,4724,6814,4749,1679,223437,481
3557579,4784,6827,4750,1685,224375,500
3556565,4780,6897,4788,1692,225278,515
