suspectible,exposed,infected,carrier,dead,recovered,new_inf
3799985,5,5,5,0,0,0
3799981,9,5,5,0,0,0
3799977,11,5,7,0,0,0
3799975,11,6,8,0,0,1
3799973,13,6,7,0,1,0
3799973,8,8,9,0,2,2
3799969,11,9,9,0,2,1
3799966,13,10,9,0,2,1
3799963,12,12,10,0,3,2
3799958,15,13,8,0,6,2
3799955,16,12,9,0,8,1
3799948,18,14,10,0,10,3
3799940,23,15,11,0,11,1
3799930,30,18,9,0,13,4
3799923,29,22,12,0,14,4
3799914,36,22,14,0,14,0
3799893,53,24,14,0,16,3
3799874,64,24,18,0,20,4
3799851,75,25,25,0,24,4
3799818,100,27,27,0,28,4
3799778,126,33,32,0,31,8
3799739,152,38,37,0,34,6
3799676,187,46,54,0,37,9
3799620,212,62,65,0,41,18
3799551,238,85,79,0,47,25
3799447,294,106,97,0,56,24
3799325,371,123,119,0,62,20
3799160,478,144,146,0,72,23
3799019,540,174,187,0,80,33
3798842,623,215,229,0,91,46
3798617,742,260,268,0,113,54
3798490,732,315,324,1,138,63
3798355,732,382,366,1,164,73
3798177,763,442,418,1,199,73
3797962,822,514,467,2,233,85
3797748,886,574,511,4,277,76
3797462,1004,650,556,4,324,95
3797192,1057,737,627,4,383,108
3796898,1170,791,681,6,454,84
3796584,1279,864,742,6,525,97
3796267,1364,956,794,6,613,132
3795904,1460,1051,859,6,720,137
3795496,1568,1156,955,6,819,155
3795050,1727,1258,1018,6,941,158
3794578,1881,1358,1097,7,1079,158
3794046,2065,1465,1210,10,1204,160
3793464,2247,1597,1319,14,1359,205
3792800,2488,1735,1431,16,1530,217
3792096,2724,1875,1562,17,1726,237
3791390,2944,2038,1691,20,1917,248
3790536,3210,2234,1853,25,2142,303
3789669,3466,2436,2017,26,2386,312
3788702,3779,2641,2205,28,2645,318
3787663,4064,2907,2405,29,2932,385
3786513,4406,3169,2659,31,3222,402
3785255,4830,3463,2868,32,3552,435
3783837,5314,3784,3108,35,3922,488
3782311,5807,4118,3373,36,4355,525
3780583,6476,4447,3658,38,4798,513
3778780,7077,4841,4012,40,5250,573
3776799,7708,5285,4390,43,5775,678
3776089,6892,5765,4869,46,6339,740
3775253,6170,6281,5302,51,6943,798
3774366,5583,6763,5626,58,7604,768
3773442,5217,7076,5866,68,8331,649
3772414,5044,7352,6037,76,9077,605
3771441,4885,7566,6084,84,9940,589
3770394,4861,7681,6043,86,10935,554
3769418,4838,7735,5964,91,11954,506
3768434,4766,7761,5853,94,13092,531
3767442,4766,7784,5734,102,14172,508
3766449,4791,7758,5635,112,15255,488
3765519,4725,7756,5525,120,16355,521
3764546,4683,7750,5450,124,17447,515
3763596,4636,7676,5379,131,18582,499
3762723,4527,7592,5262,138,19758,510
3761808,4522,7524,5177,149,20820,489
3760898,4473,7432,5146,156,21895,489
3760056,4376,7381,5124,168,22895,465
3759190,4308,7287,5023,172,24020,467
3758390,4156,7196,4983,180,25095,484
3757606,4064,7108,4868,191,26163,463
3756760,3996,6977,4821,200,27246,446
3755922,3985,6840,4732,206,28315,416
3755117,3921,6722,4671,216,29353,454
3754358,3830,6650,4619,221,30322,435
3753576,3775,6576,4584,227,31262,414
3752816,3751,6463,4501,237,32232,398
3751998,3749,6402,4434,242,33175,417
3751229,3754,6312,4367,245,34093,380
3750439,3783,6236,4308,254,34980,385
3749181,4274,6133,4231,258,35923,380
3748008,4660,6028,4163,271,36870,382
3746775,5004,6057,4150,280,37734,475
3745572,5194,6137,4198,284,38615,531
3744438,5269,6191,4320,289,39493,515
3743223,5436,6258,4472,297,40314,501
3741962,5570,6413,4589,303,41163,601
3740695,5657,6560,4755,307,42026,601
3739359,5813,6781,4937,313,42797,596
3738022,5994,6933,5115,324,43612,568
3736582,6206,7094,5263,332,44523,627
3735147,6379,7270,5418,340,45446,639
3733669,6544,7503,5606,347,46331,663
3732203,6692,7680,5775,355,47295,669
3730654,6763,7912,6013,366,48292,722
3728951,7083,8114,6180,370,49302,694
