suspectible,exposed,infected,carrier,dead,recovered,new_inf
3799985,5,5,5,0,0,0
3799982,8,5,5,0,0,0
3799978,10,5,7,0,0,0
3799976,10,5,9,0,0,0
3799969,15,7,8,0,1,2
3799967,16,8,7,0,2,1
3799961,20,10,7,0,2,2
3799961,14,12,11,0,2,2
3799956,18,13,9,0,4,1
3799950,18,15,12,0,5,3
3799946,19,16,13,0,6,2
3799933,29,18,11,0,9,3
3799925,33,20,11,0,11,3
3799920,35,19,13,0,13,1
3799913,30,24,17,0,16,5
3799902,33,23,23,1,18,2
3799869,60,25,25,1,20,3
3799844,75,32,27,1,21,7
3799806,98,33,39,1,23,3
3799757,128,39,49,1,26,9
3799706,152,49,58,1,34,12
3799632,211,54,63,1,39,9
3799561,255,68,74,1,41,15
3799484,294,83,94,1,44,16
3799400,328,114,109,1,48,31
3799271,383,142,149,1,54,30
3799093,497,175,167,1,67,34
3798906,615,198,196,1,84,33
3798714,690,248,251,1,96,55
3798482,769,323,303,1,122,83
3798202,911,385,352,1,149,71
3798012,955,445,412,1,175,68
3797781,995,523,498,1,202,86
3797478,1108,596,579,2,237,88
3797157,1232,688,637,2,284,108
3796860,1315,762,699,3,361,102
3796534,1389,858,781,3,435,132
3796151,1495,967,866,3,518,141
3795743,1614,1068,953,4,618,140
3795288,1755,1178,1034,5,740,162
3794799,1907,1291,1139,5,859,164
3794297,2042,1413,1253,7,988,182
3793708,2227,1552,1373,8,1132,193
3793031,2506,1683,1468,8,1304,196
3792280,2792,1840,1605,10,1473,229
3791463,3073,2015,1749,15,1685,268
3790629,3350,2212,1874,18,1917,293
3789697,3638,2435,2037,18,2175,328
3788736,3855,2720,2255,19,2415,387
3787607,4251,2978,2471,20,2673,375
3786415,4597,3266,2700,25,2997,439
3785118,4979,3576,2946,26,3355,455
3783669,5418,3927,3230,27,3729,521
3782081,5916,4298,3521,29,4155,565
3780307,6527,4694,3850,34,4588,586
3778441,7185,5085,4208,36,5045,592
3776368,7859,5527,4639,38,5569,685
3774088,8563,6064,5071,43,6171,778
3771614,9316,6644,5585,47,6794,869
3768963,10173,7225,6103,54,7482,885
3765987,11147,7888,6681,62,8235,1006
3764930,9963,8684,7272,67,9084,1145
3763823,8861,9381,7848,76,10011,1127
3762645,7940,9998,8333,77,11007,1070
3761402,7267,10484,8675,85,12087,984
3760092,6802,10839,8864,92,13311,889
3758761,6585,11014,8901,101,14638,749
3757411,6445,11131,8886,114,16013,729
3756069,6356,11193,8721,122,17539,744
3754790,6296,11158,8492,136,19128,706
3753536,6247,11077,8212,146,20782,675
3752358,6041,11006,8071,156,22368,666
3751097,6016,10828,7877,164,24018,606
3749907,5935,10642,7661,179,25676,619
3748790,5776,10526,7493,184,27231,645
3747683,5639,10327,7308,196,28847,617
3746608,5456,10171,7212,206,30347,634
3745548,5326,9982,7050,220,31874,592
3744574,5169,9771,6900,231,33355,552
3743569,5106,9550,6684,251,34840,542
3742572,5045,9327,6424,266,36366,541
3741566,4980,9199,6309,278,37668,542
3740594,4873,9000,6196,292,39045,535
3739652,4746,8786,6113,302,40401,512
3738801,4573,8633,5986,316,41691,506
3737888,4504,8478,5834,323,42973,503
3737010,4410,8292,5681,333,44274,503
3736162,4363,8072,5527,343,45533,481
3735346,4271,7841,5370,352,46820,435
3734506,4206,7701,5220,358,48009,466
3733758,4044,7593,5082,362,49161,506
3732376,4595,7395,4916,373,50345,414
3731050,5030,7264,4836,380,51440,460
3729772,5340,7166,4792,389,52541,489
3728506,5557,7142,4806,395,53594,514
3727217,5736,7151,4936,403,54557,529
3725865,5939,7192,5029,413,55562,565
3724558,6089,7260,5146,426,56521,572
3723165,6265,7347,5311,432,57480,603
3721721,6437,7451,5495,441,58455,602
3720239,6625,7544,5684,447,59461,639
3718719,6714,7723,5911,459,60474,724
3717058,6987,7924,6087,469,61475,691
3715394,7222,8120,6323,475,62466,697
3713703,7504,8282,6476,486,63549,709
3711935,7728,8547,6662,494,64634,788
3710137,7946,8828,6827,502,65760,824
3708336,8081,9125,7049,508,66901,832
3706496,8255,9413,7243,516,68077,842
3704687,8375,9699,7489,522,69228,832
3702686,8604,9959,7701,543,70507,915
3700713,8839,10178,7886,555,71829,828
3698720,9014,10487,8066,564,73149,946
3696529,9362,10736,8275,576,74522,919
3694446,9466,11060,8510,588,75930,992
3692185,9785,11319,8715,602,77394,990
3689860,10047,11693,8970,611,78819,1044
3687468,10358,12045,9194,621,80314,1059
3685113,10533,12306,9444,634,81970,1094
3682672,10754,12682,9619,638,83635,1125
3680136,11046,13026,9873,646,85273,1151
3678492,10301,13414,10194,657,86942,1215
3676806,9667,13732,10441,671,88683,1178
3675095,9240,14018,10528,684,90435,1105
3673415,8869,14123,10563,695,92335,1025
3671761,8547,14217,10563,713,94199,990
3669930,8451,14245,10493,732,96149,995
3668196,8382,14199,10345,750,98128,921
3666449,8340,14162,10146,765,100138,937
3664745,8201,14126,9990,775,102163,964
3663094,8128,13984,9837,789,104168,871
3661490,8018,13856,9621,805,106210,887
3659952,7845,13673,9521,822,108187,878
3658443,7627,13588,9354,837,110151,901
3656911,7547,13477,9138,860,112067,829
3655377,7453,13229,8997,877,114067,813
3653928,7299,13006,8907,892,115968,791
3652461,7219,12803,8784,903,117830,782
3651022,7113,12564,8690,919,119692,759
3649712,6862,12430,8547,931,121518,804
3648300,6752,12227,8386,945,123390,762
3646947,6696,12051,8219,962,125125,723
3645649,6526,11896,8055,966,126908,757
3644325,6377,11679,7955,978,128686,737
3643172,6207,11438,7802,984,130397,663
3641940,6076,11211,7683,993,132097,663
3640751,5962,11009,7533,1006,133739,656
3639558,5902,10774,7361,1019,135386,627
3638393,5783,10552,7268,1039,136965,655
3637222,5759,10331,7084,1046,138558,591
3636135,5540,10234,6971,1055,140065,695
3634240,6279,10044,6779,1066,141592,605
3632481,6764,9938,6645,1074,143098,665
3630636,7297,9841,6584,1092,144550,662
3628894,7596,9845,6625,1101,145939,740
3627072,7933,9808,6687,1110,147390,736
3625248,8136,9896,6843,1124,148753,805
3623416,8198,10036,7061,1135,150154,892
3621517,8380,10233,7278,1145,151447,872
3619534,8646,10397,7460,1149,152814,872
3617516,8909,10609,7668,1159,154139,894
3615438,9101,10807,7955,1174,155525,954
3613302,9353,11083,8152,1189,156921,975
3611130,9649,11297,8398,1197,158329,938
3608928,9825,11571,8656,1207,159813,1002
3606732,9925,11943,8868,1222,161310,1089
3604562,10050,12293,9039,1228,162828,1063
3602196,10291,12554,9391,1241,164327,1020
3599736,10659,12758,9669,1261,165917,1010
3597209,10943,13074,9903,1272,167599,1148
3594577,11281,13483,10136,1279,169244,1202
3591917,11529,13807,10402,1294,171051,1199
3589320,11734,14104,10604,1312,172926,1256
3586696,12019,14454,10734,1328,174769,1216
3584031,12125,14829,11000,1345,176670,1311
3581239,12381,15205,11307,1362,178506,1282
3578424,12586,15583,11599,1377,180431,1305
3575393,12962,15900,11917,1399,182429,1310
3572340,13369,16195,12101,1414,184581,1345
3569276,13670,16459,12448,1426,186721,1293
3566154,13840,16881,12796,1442,188887,1479
3564104,13104,17161,13045,1460,191126,1410
3561990,12275,17473,13365,1478,193419,1457
3559808,11669,17754,13617,1500,195652,1387
3557632,11297,17883,13630,1513,198045,1281
3555433,10995,17981,13556,1528,200507,1300
3553239,10764,18010,13492,1541,202954,1229
3551023,10597,17963,13375,1555,205487,1167
3548854,10512,17889,13131,1567,208047,1145
3546802,10300,17710,12865,1584,210739,1123
3544694,10193,17578,12617,1602,213316,1129
3542700,9941,17360,12425,1613,215961,1127
3540665,9808,17174,12194,1627,218532,1117
3538741,9711,16909,11939,1653,221047,1031
3536803,9524,16721,11744,1674,223534,1063
3534895,9417,16498,11519,1691,225980,1049
3533050,9252,16263,11340,1705,228390,1001
3531264,9059,16029,11171,1725,230752,961
3529446,8941,15691,11024,1747,233151,927
3527661,8799,15527,10865,1759,235389,976
3525911,8676,15319,10639,1785,237670,954
3524303,8456,15022,10476,1801,239942,921
3522657,8270,14761,10229,1818,242265,949
3521055,8099,14520,9995,1837,244494,891
3519577,7813,14270,9836,1846,246658,872
3518101,7549,14032,9640,1863,248815,903
3516626,7327,13809,9479,1882,250877,854
3515197,7232,13551,9279,1896,252845,781
3513784,7098,13346,9070,1906,254796,796
3512404,6998,13065,8815,1916,256802,760
3511080,6846,12737,8620,1934,258783,722
3508803,7653,12444,8440,1950,260710,748
3506624,8338,12228,8311,1959,262540,750
3504462,8917,12162,8231,1970,264258,811
3502356,9252,12062,8219,1985,266126,876
3500286,9513,12085,8299,2004,267813,917
3498192,9600,12195,8516,2015,269482,996
3496093,9609,12370,8742,2025,271161,1056
3493754,9906,12486,8994,2036,272824,1016
3491502,10131,12652,9166,2049,274500,1044
3489122,10309,12915,9406,2060,276188,1132
3486813,10438,13162,9683,2069,277835,1079
3484328,10761,13305,9947,2082,279577,1056
3481858,10923,13544,10204,2093,281378,1178
3479284,11273,13817,10348,2109,283169,1164
3476616,11638,14159,10454,2124,285009,1214
3474034,11654,14594,10735,2136,286847,1300
3471389,11843,14984,10947,2156,288681,1286
3468661,12008,15307,11282,2165,290577,1266
3465813,12325,15625,11495,2178,292564,1294
3462934,12640,15894,11803,2194,294535,1294
3460054,12932,16208,12068,2209,296529,1295
3457165,13068,16560,12297,2222,298688,1424
3454225,13226,16919,12578,2233,300819,1366
3451204,13446,17215,12779,2252,303104,1441
3448128,13727,17499,12946,2273,305427,1428
3445018,13967,17813,13099,2290,307813,1493
3441876,14118,18236,13388,2301,310081,1544
3438651,14296,18645,13621,2320,312467,1588
3435501,14455,18917,13880,2333,314914,1479
